/m/0342h,"['Guitar', 'Sounds of a string instrument with between 4 and 18 strings (typically 6) running over a fretboard, typically played by strumming or plucking the strings with the right hand while fretting the strings with the fingers of the left hand.']"
/m/042v_gx,"['Acoustic guitar', 'Sounds of a guitar that produces sound acoustically by transmitting the vibration of the strings from its body to the air. Includes guitars with both nylon (or gut) strings, and those with steel strings.']"
/m/0jtg0,"['Sitar', 'Sounds of a plucked stringed instrument used mainly in Hindustani and Indian classical music, which derives its distinctive timbre and resonance from sympathetic strings, bridge design, a long hollow neck, and a gourd-shaped resonance chamber.']"
/m/05r5c,"['Piano', 'Sounds of a musical instrument played via a row of keys that the performer presses down or strikes with the fingers and thumbs of both hands, to trigger a decaying note whose loudness reflects the vigor of the press.']"
/m/01s0ps,"['Electric piano', 'Sounds of a music instrument with a piano-style keyboard, where pressing keys causes mechanical hammers to strike metal strings, metal reeds, or wire tines, leading to vibrations which are converted into electrical signals by magnetic pickups.']"
/m/01p970,"['Tabla', ""The sound of a classical Hindustani percussion instrument consisting of a pair of hand drums of contrasting sizes and timbres, producing distinct pitches when struck. The larger drum has a pitch that can be manipulated with the player's hand.""]"
/m/0l14_3,"['Bowed string instrument', 'Sounds of the subcategory of string instruments that are usually played by a bow rubbing the strings.  Examples may include other playing techniques for these instruments, such as plucking.']"
/m/02qmj0d,"['String section', 'The sound of a group of string instruments typically present in a standard classical orchestra.']"
/m/07y_7,"['Violin, fiddle', 'The sound of a wooden string instrument, typically with four strings tuned in perfect fifths, that is most commonly played by drawing a bow across its strings, though it can also be played by plucking the strings.']"
/m/0l14j_,"['Flute', 'The sound of an aerophone or reedless wind instrument that produces its sound from the flow of air across an opening.']"
/m/015vgc,"['Carnatic music', 'A system of music commonly associated with the southern India, whose main emphasis is on vocal music. Although improvisation plays an important role, Carnatic music is mainly sung through compositions.']"
/m/0dq0md,"['Music of Bollywood', 'Hindi film songs featured in Bollywood films. Bollywood songs, along with dance, are a characteristic motif of Hindi cinema which gives it enduring popular appeal, cultural value, and context.']"
